,id,title,pressing_year,album_year,country,artist,artist_id,format,lp_quantity,pressing,description,genres,styles,wants,haves,rating,lowest_sold_usd,median_sold_usd,highest_sold_usd,url
10,26927123,Girl Of My Dreams,2023,2022,US,['Fletcher'],[3931647],Vinyl,2,['Yellow [Lemon Yellow]'],"['LP', 'Album', 'Deluxe Edition', 'Limited Edition']",['Pop'],"['Indie Pop', 'Vocal']",195,923,4.6,21.0,30.0,86.0,https://www.discogs.com/release/26927123-Fletcher-Girl-Of-My-Dreams
11,27059409,Finding Fletcher,2023,2016,US,['Fletcher'],[3931647],Vinyl,1,['Blue [Translucent]'],"['12""', '45 RPM', 'EP', 'Reissue']","['Electronic', 'Pop']",['Electro'],100,502,4.6,16.95,18.85,60.0,https://www.discogs.com/release/27059409-Fletcher-Finding-Fletcher
12,27059247,You Ruined New York City For Me,2023,2019,US,['Fletcher'],[3931647],Vinyl,1,['Red'],"['12""', '45 RPM', 'EP', 'Reissue']",['Pop'],"['Indie Pop', 'Vocal']",156,713,4.7,12.99,20.99,60.0,https://www.discogs.com/release/27059247-Fletcher-You-Ruined-New-York-City-For-Me
13,27058944,The S(ex) Tapes,2023,2020,US,['Fletcher'],[3931647],Vinyl,1,['Emerald Translucent'],"['12""', '45 RPM', 'EP', 'Reissue']",['Pop'],"['Indie Pop', 'Vocal']",153,755,4.7,18.0,19.99,150.0,https://www.discogs.com/release/27058944-Fletcher-The-Sex-Tapes
14,16262527,Show Pony,2020,2020,US,['Orville Peck'],[6871068],Vinyl,1,['Purple'],"['12""', '33 ⅓ RPM', 'EP', 'Stereo']","['Folk, World, & Country']","['Country', 'Country Rock']",486,3824,4.6,13.0,20.0,28.0,https://www.discogs.com/release/16262527-Orville-Peck-Show-Pony
15,27031743,Random Access Memories (10th Anniversary Edition),2023,2013,Worldwide,['Daft Punk'],[1289],Vinyl,3,['180 gram'],"['LP', 'Album', 'Reissue', 'Stereo']","['Electronic', 'Funk / Soul', 'Pop']","['Electro', 'Disco', 'Funk', 'Synth-pop']",2124,12308,4.7,14.95,39.89,54.25,https://www.discogs.com/release/27031743-Daft-Punk-Random-Access-Memories-10th-Anniversary-Edition
16,30254198,Cowboy Carter,2024,2024,US,['Beyoncé'],[52835],Vinyl,2,"['""Beads"" (Black) Cover']","['LP', 'Album', 'Limited Edition']","['Hip Hop', 'Funk / Soul', 'Blues', 'Pop', 'Folk, World, & Country']","['Country', 'Bluegrass', 'Gospel', 'Zydeco', 'Go-Go', 'Contemporary R&B']",404,3069,4.0,24.0,32.18,41.2,https://www.discogs.com/release/30254198-Beyonc%C3%A9-Cowboy-Carter
17,27068187,Bronco,2023,2022,USA & Canada,['Orville Peck'],[6871068],Vinyl,2,['Gold'],"['LP', 'Album', 'Record Store Day', 'Limited Edition', 'Stereo']","['Rock', 'Folk, World, & Country']","['Country', 'Country Rock']",156,318,4.8,37.99,44.56,62.49,https://www.discogs.com/release/27068187-Orville-Peck-Bronco
18,16109485,Liminal Space,2020,2020,US,['Devin Sinha'],[4850266],Vinyl,1,['Standard Black'],"['12""', '33 ⅓ RPM', 'Album', 'Limited Edition']","['Rock', 'Folk, World, & Country']",['Folk Rock'],3,95,4.5,,,,https://www.discogs.com/release/16109485-Devin-Sinha-Liminal-Space
19,6938294,Pools To Bathe In,2015,2015,Europe,['The Japanese House'],[4374289],Vinyl,1,['Pastel Pink'],"['12""', 'EP', 'Limited Edition']","['Folk, World, & Country']",,279,571,4.6,10.0,25.19,59.78,https://www.discogs.com/release/6938294-The-Japanese-House-Pools-To-Bathe-In
